id,order_ref_id,order_priority,order_date,ship_date,country_id,sales_channel,item_type_id,units_sold,total_revenue,total_cost,total_profit,created_at,updated_at
25,687374913,M,2010-01-10,2010-02-26,24,Online,7,8367,1721091.9,979859.37,741232.53,2010-01-10,2010-02-26
26,653920686,C,2010-01-11,2010-01-18,26,Online,5,8517,1299523.86,829896.48,469627.38,2010-01-11,2010-01-18
27,479171121,C,2010-01-11,2010-01-27,28,Offline,8,6238,1592436.64,994461.96,597974.68,2010-01-11,2010-01-27
28,525023162,L,2010-01-11,2010-02-06,25,Offline,9,4876,2057135.64,1778228.44,278907.2,2010-01-11,2010-02-06
29,938557994,L,2010-01-11,2010-02-18,29,Offline,11,9022,5875216.62,4736189.12,1139027.5,2010-01-11,2010-02-18
30,612161910,M,2010-01-11,2010-02-27,27,Offline,3,1168,95460.64,66190.56,29270.08,2010-01-11,2010-02-27
31,356413495,L,2010-01-12,2010-01-18,32,Offline,3,9528,778723.44,539951.76,238771.68,2010-01-12,2010-01-18
32,393842971,L,2010-01-12,2010-01-31,30,Offline,4,5742,627485.76,205793.28,421692.48,2010-01-12,2010-01-31
33,412498700,M,2010-01-12,2010-02-19,31,Online,10,6387,2792396.4,1681888.71,1110507.69,2010-01-12,2010-02-19
34,805095136,L,2010-01-13,2010-01-20,33,Online,6,4396,677247.76,399728.28,277519.48,2010-01-13,2010-01-20
35,730236184,L,2010-01-13,2010-02-14,35,Online,2,1969,93429.05,62594.51,30834.54,2010-01-13,2010-02-14
36,861180341,L,2010-01-13,2010-02-20,34,Offline,2,1255,59549.75,39896.45,19653.3,2010-01-13,2010-02-20
37,545135438,C,2010-01-14,2010-02-27,36,Online,12,6545,4373827.15,3289124.3,1084702.85,2010-01-14,2010-02-27
38,129317939,H,2010-01-15,2010-01-22,36,Offline,6,6907,1064092.42,628053.51,436038.91,2010-01-15,2010-01-22
39,761171710,H,2010-01-15,2010-03-03,3,Online,10,6479,2832618.8,1706115.07,1126503.73,2010-01-15,2010-03-03
40,667420995,C,2010-01-16,2010-01-18,11,Online,3,3559,290877.07,201688.53,89188.54,2010-01-16,2010-01-18
41,646482598,M,2010-01-16,2010-01-25,38,Offline,5,7422,1132448.76,723199.68,409249.08,2010-01-16,2010-01-25
42,916793477,C,2010-01-16,2010-02-04,39,Online,8,8418,2148947.04,1341997.56,806949.48,2010-01-16,2010-02-04
43,336813628,C,2010-01-16,2010-02-23,37,Offline,10,9492,4149902.4,2499528.36,1650374.04,2010-01-16,2010-02-23
44,665138328,H,2010-01-17,2010-02-14,40,Online,1,8067,75265.11,55823.64,19441.47,2010-01-17,2010-02-14
45,756252324,L,2010-01-18,2010-02-09,45,Online,1,723,6745.59,5003.16,1742.43,2010-01-18,2010-02-09
46,450794637,C,2010-01-18,2010-02-11,42,Offline,1,9006,84025.98,62321.52,21704.46,2010-01-18,2010-02-11
47,806197631,M,2010-01-18,2010-02-18,43,Online,8,649,165676.72,103463.58,62213.14,2010-01-18,2010-02-18
48,949657618,H,2010-01-18,2010-02-20,41,Online,9,3648,1539054.72,1330389.12,208665.6,2010-01-18,2010-02-20
49,423834359,H,2010-01-18,2010-02-20,44,Offline,8,860,219540.8,137101.2,82439.6,2010-01-18,2010-02-20
50,993345010,L,2010-01-18,2010-03-03,41,Offline,2,1718,81519.1,54615.22,26903.88,2010-01-18,2010-03-03
51,475590264,M,2010-01-19,2010-02-04,46,Online,3,6583,538028.59,373058.61,164969.98,2010-01-19,2010-02-04
52,477282845,H,2010-01-20,2010-02-04,11,Offline,7,7455,1533493.5,873055.05,660438.45,2010-01-20,2010-02-04
53,250777375,C,2010-01-20,2010-03-02,47,Offline,4,9453,1033023.84,338795.52,694228.32,2010-01-20,2010-03-02
54,612320268,M,2010-01-21,2010-02-10,48,Offline,6,8029,1236947.74,730076.97,506870.77,2010-01-21,2010-02-10
55,310955846,C,2010-01-21,2010-02-10,49,Online,3,7600,621148,430692,190456,2010-01-21,2010-02-10
56,715950095,L,2010-01-22,2010-02-01,50,Offline,2,4398,208685.1,139812.42,68872.68,2010-01-22,2010-02-01
57,368851649,H,2010-01-22,2010-02-17,51,Online,7,255,52453.5,29863.05,22590.45,2010-01-22,2010-02-17
58,786361730,L,2010-01-23,2010-02-03,52,Online,2,765,36299.25,24319.35,11979.9,2010-01-23,2010-02-03
59,480904042,C,2010-01-23,2010-02-05,34,Offline,5,9048,1380543.84,881637.12,498906.72,2010-01-23,2010-02-05
60,657346189,C,2010-01-24,2010-01-28,19,Offline,10,2200,961840,579326,382514,2010-01-24,2010-01-28
61,410138356,H,2010-01-24,2010-03-02,53,Offline,4,7909,864295.52,283458.56,580836.96,2010-01-24,2010-03-02
62,987835538,H,2010-01-24,2010-03-10,35,Offline,1,1342,12520.86,9286.64,3234.22,2010-01-24,2010-03-10
63,817061221,C,2010-01-26,2010-02-21,54,Offline,6,5427,836083.62,493477.11,342606.51,2010-01-26,2010-02-21
64,714533889,H,2010-01-29,2010-02-07,56,Online,11,5311,3458576.31,2788062.56,670513.75,2010-01-29,2010-02-07
65,562887370,H,2010-01-29,2010-02-08,55,Online,11,9736,6340180.56,5111010.56,1229170,2010-01-29,2010-02-08
66,627159106,M,2010-01-29,2010-03-09,56,Online,9,9171,3869153.19,3344571.99,524581.2,2010-01-29,2010-03-09
67,596105563,M,2010-01-29,2010-03-20,57,Online,8,9738,2485916.64,1552431.96,933484.68,2010-01-29,2010-03-20
68,213506257,L,2010-01-30,2010-01-31,59,Offline,1,101,942.33,698.92,243.41,2010-01-30,2010-01-31
69,797461354,H,2010-01-30,2010-02-05,58,Online,2,5391,255802.95,171379.89,84423.06,2010-01-30,2010-02-05
70,200636374,C,2010-01-31,2010-03-03,60,Offline,3,1617,132157.41,91635.39,40522.02,2010-01-31,2010-03-03
71,774122273,H,2010-02-01,2010-02-15,61,Offline,11,8838,5755393.98,4639596.48,1115797.5,2010-02-01,2010-02-15
72,325322616,M,2010-02-01,2010-03-12,62,Online,6,9046,1393626.76,822552.78,571073.98,2010-02-01,2010-03-12
73,285492455,C,2010-02-02,2010-03-01,64,Offline,11,2417,1573974.57,1268828.32,305146.25,2010-02-02,2010-03-01
74,131681287,M,2010-02-02,2010-03-02,63,Online,6,6274,966572.44,570494.82,396077.62,2010-02-02,2010-03-02
75,114954173,C,2010-02-03,2010-02-11,66,Offline,1,6349,59236.17,43935.08,15301.09,2010-02-03,2010-02-11
76,792541968,L,2010-02-03,2010-03-08,65,Offline,7,9635,1981919.5,1128354.85,853564.65,2010-02-03,2010-03-08
77,320757281,L,2010-02-03,2010-03-15,19,Offline,3,8062,658907.26,456873.54,202033.72,2010-02-03,2010-03-15
78,875351417,H,2010-02-04,2010-02-08,67,Online,1,4791,44700.03,33153.72,11546.31,2010-02-04,2010-02-08
79,124833285,C,2010-02-05,2010-02-10,25,Offline,1,9798,91415.34,67802.16,23613.18,2010-02-05,2010-02-10
80,557141864,M,2010-02-05,2010-02-16,69,Offline,8,9513,2428478.64,1516562.46,911916.18,2010-02-05,2010-02-16
81,611298453,H,2010-02-05,2010-03-20,68,Online,6,5652,870747.12,513936.36,356810.76,2010-02-05,2010-03-20
82,251448142,M,2010-02-06,2010-02-18,22,Online,1,7948,74154.84,55000.16,19154.68,2010-02-06,2010-02-18
83,448946702,M,2010-02-06,2010-02-28,72,Offline,12,2161,1444131.47,1085988.94,358142.53,2010-02-06,2010-02-28
84,885348546,C,2010-02-06,2010-03-04,71,Online,12,3164,2114406.28,1590036.56,524369.72,2010-02-06,2010-03-04
85,877162015,M,2010-02-06,2010-03-07,70,Offline,10,588,257073.6,154838.04,102235.56,2010-02-06,2010-03-07
86,396718728,L,2010-02-07,2010-03-18,32,Offline,3,6742,551023.66,382069.14,168954.52,2010-02-07,2010-03-18
87,748028457,C,2010-02-07,2010-03-26,6,Online,7,7098,1460058.6,831246.78,628811.82,2010-02-07,2010-03-26
88,838788402,M,2010-02-10,2010-02-26,11,Offline,8,4983,1272060.24,794389.86,477670.38,2010-02-10,2010-02-26
89,909436070,L,2010-02-10,2010-02-27,73,Offline,4,1198,130917.44,42936.32,87981.12,2010-02-10,2010-02-27
90,913529336,C,2010-02-11,2010-02-27,76,Offline,8,2486,634626.08,396318.12,238307.96,2010-02-11,2010-02-27
91,516485583,M,2010-02-11,2010-03-06,75,Offline,9,8416,3550626.24,3069231.04,481395.2,2010-02-11,2010-03-06
92,979965722,M,2010-02-11,2010-03-27,74,Offline,7,2489,511987.3,291486.79,220500.51,2010-02-11,2010-03-27
93,562101590,C,2010-02-12,2010-03-17,16,Online,10,7207,3150900.4,1897819.31,1253081.09,2010-02-12,2010-03-17
94,894637572,C,2010-02-12,2010-04-01,77,Offline,5,1993,304091.94,194197.92,109894.02,2010-02-12,2010-04-01
95,721816623,H,2010-02-13,2010-02-17,78,Online,6,434,66862.04,39463.62,27398.42,2010-02-13,2010-02-17
96,865276610,C,2010-02-13,2010-02-19,68,Online,5,3432,523654.56,334414.08,189240.48,2010-02-13,2010-02-19
97,719769990,M,2010-02-13,2010-03-15,49,Online,12,4790,3201013.3,2407166.6,793846.7,2010-02-13,2010-03-15
98,345593249,L,2010-02-13,2010-03-15,3,Offline,10,7577,3312664.4,1995251.41,1317412.99,2010-02-13,2010-03-15
99,744683635,L,2010-02-13,2010-04-01,79,Offline,6,7291,1123251.46,662970.63,460280.83,2010-02-13,2010-04-01
100,416004884,L,2010-02-14,2010-03-17,80,Offline,10,3945,1724754,1038836.85,685917.15,2010-02-14,2010-03-17
101,382668673,L,2010-02-15,2010-03-04,82,Online,1,9019,84147.27,62411.48,21735.79,2010-02-15,2010-03-04
102,636134421,C,2010-02-15,2010-03-20,83,Online,2,5166,245126.7,164227.14,80899.56,2010-02-15,2010-03-20
103,893929469,M,2010-02-15,2010-04-03,81,Online,12,2450,1637261.5,1231223,406038.5,2010-02-15,2010-04-03
104,135224807,C,2010-02-15,2010-04-06,1,Online,7,4880,1003816,571496.8,432319.2,2010-02-15,2010-04-06
105,197449910,M,2010-02-16,2010-02-20,85,Online,3,8671,708680.83,491385.57,217295.26,2010-02-16,2010-02-20
106,837608230,M,2010-02-16,2010-03-03,72,Online,6,5744,884920.64,522301.92,362618.72,2010-02-16,2010-03-03
107,521681344,M,2010-02-16,2010-04-03,84,Online,11,5957,3879257.97,3127186.72,752071.25,2010-02-16,2010-04-03
108,775147092,L,2010-02-17,2010-02-28,2,Online,7,2105,432998.5,246516.55,186481.95,2010-02-17,2010-02-28
109,159902417,C,2010-02-17,2010-03-05,87,Online,8,7533,1923024.24,1200910.86,722113.38,2010-02-17,2010-03-05
110,515187394,C,2010-02-17,2010-04-06,86,Online,11,4253,2769596.13,2232654.88,536941.25,2010-02-17,2010-04-06
111,519280660,C,2010-02-18,2010-04-06,19,Offline,12,5542,3703552.34,2785076.68,918475.66,2010-02-18,2010-04-06
112,398333632,C,2010-02-19,2010-03-02,88,Offline,7,4629,952185.3,542102.19,410083.11,2010-02-19,2010-03-02
113,440092408,M,2010-02-19,2010-03-14,89,Offline,1,1978,18454.74,13687.76,4766.98,2010-02-19,2010-03-14
114,627003753,M,2010-02-19,2010-03-26,26,Offline,9,3199,1349626.11,1166643.31,182982.8,2010-02-19,2010-03-26
115,795141351,H,2010-02-20,2010-02-24,24,Offline,2,8850,419932.5,281341.5,138591,2010-02-20,2010-02-24
116,930296790,C,2010-02-20,2010-03-26,90,Offline,9,4348,1834377.72,1585672.12,248705.6,2010-02-20,2010-03-26
117,585362994,L,2010-02-20,2010-04-11,91,Offline,12,773,516572.71,388463.42,128109.29,2010-02-20,2010-04-11
118,686946189,H,2010-02-21,2010-03-08,63,Online,3,1498,122431.54,84891.66,37539.88,2010-02-21,2010-03-08
119,406402146,C,2010-02-21,2010-03-27,92,Online,1,2281,21281.73,15784.52,5497.21,2010-02-21,2010-03-27
120,239721095,L,2010-02-23,2010-03-09,52,Offline,3,7654,625561.42,433752.18,191809.24,2010-02-23,2010-03-09
121,266445338,H,2010-02-24,2010-02-28,38,Online,10,5951,2601777.2,1567076.83,1034700.37,2010-02-24,2010-02-28
122,453474700,C,2010-02-24,2010-04-08,93,Online,4,2096,229050.88,75120.64,153930.24,2010-02-24,2010-04-08
123,268373954,H,2010-02-25,2010-02-28,94,Online,11,6672,4344873.12,3502533.12,842340,2010-02-25,2010-02-28
124,916718804,M,2010-02-25,2010-03-09,17,Online,12,6321,4224134.67,3176555.34,1047579.33,2010-02-25,2010-03-09
125,363699233,M,2010-02-26,2010-03-20,96,Online,7,5540,1139578,648789.4,490788.6,2010-02-26,2010-03-20
126,689977300,C,2010-02-26,2010-04-05,95,Online,9,8471,3573830.19,3089288.99,484541.2,2010-02-26,2010-04-05
127,438558185,M,2010-02-26,2010-04-14,2,Online,9,7967,3361197.63,2905485.23,455712.4,2010-02-26,2010-04-14
128,380072295,M,2010-02-27,2010-03-15,12,Online,10,693,302979.6,182487.69,120491.91,2010-02-27,2010-03-15
129,585757386,L,2010-02-28,2010-03-23,96,Offline,7,7482,1539047.4,876217.02,662830.38,2010-02-28,2010-03-23
130,718512141,C,2010-03-01,2010-03-04,98,Offline,2,2564,121661.8,81509.56,40152.24,2010-03-01,2010-03-04
131,161399304,L,2010-03-01,2010-03-15,91,Online,10,496,216851.2,130611.68,86239.52,2010-03-01,2010-03-15
132,221695792,H,2010-03-01,2010-03-20,14,Online,11,3566,2322214.86,1872007.36,450207.5,2010-03-01,2010-03-20
133,211344611,L,2010-03-01,2010-03-23,54,Offline,5,422,64388.76,41119.68,23269.08,2010-03-01,2010-03-23
134,641724574,C,2010-03-01,2010-03-30,97,Offline,6,9417,1450783.02,856287.81,594495.21,2010-03-01,2010-03-30
135,601894414,M,2010-03-02,2010-03-19,91,Offline,11,2787,1814922.27,1463063.52,351858.75,2010-03-02,2010-03-19
136,520777547,C,2010-03-02,2010-04-15,54,Offline,4,8504,929317.12,304783.36,624533.76,2010-03-02,2010-04-15
137,443871963,H,2010-03-02,2010-04-16,99,Online,4,432,47208.96,15482.88,31726.08,2010-03-02,2010-04-16
138,930219113,M,2010-03-03,2010-03-10,100,Online,11,1362,886948.02,714995.52,171952.5,2010-03-03,2010-03-10
139,601422345,C,2010-03-04,2010-03-20,101,Online,2,3092,146715.4,98294.68,48420.72,2010-03-04,2010-03-20
140,967294538,L,2010-03-04,2010-04-18,59,Online,9,2804,1182979.56,1022590.76,160388.8,2010-03-04,2010-04-18
141,603114926,L,2010-03-06,2010-03-22,102,Offline,11,3964,2581396.44,2080941.44,500455,2010-03-06,2010-03-22
142,407544982,L,2010-03-07,2010-03-12,60,Offline,1,472,4403.76,3266.24,1137.52,2010-03-07,2010-03-12
143,960446536,H,2010-03-07,2010-03-28,103,Offline,11,6328,4120856.88,3321946.88,798910,2010-03-07,2010-03-28
144,845875442,H,2010-03-08,2010-03-17,17,Online,9,2195,926048.55,800494.55,125554,2010-03-08,2010-03-17
145,681713092,H,2010-03-08,2010-03-22,18,Online,2,2908,137984.6,92445.32,45539.28,2010-03-08,2010-03-22
146,170098245,L,2010-03-10,2010-03-19,104,Offline,9,4705,1984992.45,1715866.45,269126,2010-03-10,2010-03-19
147,315014779,H,2010-03-12,2010-03-23,106,Online,4,8728,953795.84,312811.52,640984.32,2010-03-12,2010-03-23
148,863823068,M,2010-03-12,2010-04-09,105,Online,12,3297,2203286.19,1656874.38,546411.81,2010-03-12,2010-04-09
149,418644607,M,2010-03-14,2010-03-15,2,Online,6,5097,785243.82,463470.21,321773.61,2010-03-14,2010-03-15
150,938209950,C,2010-03-14,2010-03-16,88,Offline,3,6028,492668.44,341606.76,151061.68,2010-03-14,2010-03-16
151,418408572,H,2010-03-15,2010-03-15,92,Offline,3,5249,429000.77,297460.83,131539.94,2010-03-15,2010-03-15
152,222720611,L,2010-03-16,2010-04-01,66,Offline,8,6833,1744328.24,1089316.86,655011.38,2010-03-16,2010-04-01
153,574148356,M,2010-03-16,2010-05-04,60,Online,5,2112,322248.96,205793.28,116455.68,2010-03-16,2010-05-04
154,239329707,L,2010-03-17,2010-03-27,107,Online,4,1834,200419.52,65730.56,134688.96,2010-03-17,2010-03-27
155,844105184,H,2010-03-17,2010-04-20,45,Offline,2,8337,395590.65,265033.23,130557.42,2010-03-17,2010-04-20
156,696197879,H,2010-03-19,2010-03-26,34,Online,7,9278,1908484.6,1086546.58,821938.02,2010-03-19,2010-03-26
157,908140885,H,2010-03-19,2010-03-31,99,Online,6,7924,1220771.44,720529.32,500242.12,2010-03-19,2010-03-31
158,612798345,C,2010-03-20,2010-03-30,21,Online,7,9503,1954767.1,1112896.33,841870.77,2010-03-20,2010-03-30
159,384128224,M,2010-03-20,2010-04-26,108,Offline,12,933,623495.91,468869.82,154626.09,2010-03-20,2010-04-26
160,340204799,L,2010-03-21,2010-04-16,109,Online,9,3015,1271998.35,1099540.35,172458,2010-03-21,2010-04-16
161,215282523,C,2010-03-22,2010-04-08,103,Offline,7,5738,1180306.6,671977.18,508329.42,2010-03-22,2010-04-08
162,373186957,L,2010-03-23,2010-04-07,110,Online,6,3169,488216.14,288157.17,200058.97,2010-03-23,2010-04-07
163,576707398,L,2010-03-23,2010-04-14,56,Online,1,9390,87608.7,64978.8,22629.9,2010-03-23,2010-04-14
164,911290013,M,2010-03-24,2010-04-03,111,Online,3,9821,802670.33,556556.07,246114.26,2010-03-24,2010-04-03
165,632320535,H,2010-03-26,2010-03-28,72,Online,11,6553,4267379.13,3440062.88,827316.25,2010-03-26,2010-03-28
166,382594001,M,2010-03-27,2010-04-07,70,Offline,5,6922,1056158.76,674479.68,381679.08,2010-03-27,2010-04-07
167,948129403,M,2010-03-27,2010-05-14,112,Online,2,1415,67141.75,44982.85,22158.9,2010-03-27,2010-05-14
168,488152444,L,2010-03-30,2010-03-30,113,Online,12,4011,2680430.97,2015687.94,664743.03,2010-03-30,2010-03-30
169,267432820,M,2010-03-31,2010-04-24,72,Online,7,8169,1680363.3,956671.59,723691.71,2010-03-31,2010-04-24
170,230121362,C,2010-03-31,2010-05-06,114,Online,1,6880,64190.4,47609.6,16580.8,2010-03-31,2010-05-06
171,258774220,M,2010-04-02,2010-04-28,46,Offline,7,5897,1213012.9,690597.67,522415.23,2010-04-02,2010-04-28
172,580841004,H,2010-04-03,2010-04-22,61,Offline,2,2616,124129.2,83162.64,40966.56,2010-04-03,2010-04-22
173,798805892,H,2010-04-04,2010-04-25,17,Offline,12,3270,2185242.9,1643305.8,541937.1,2010-04-04,2010-04-25
174,553290641,M,2010-04-05,2010-04-07,7,Online,4,9851,1076517.28,353059.84,723457.44,2010-04-05,2010-04-07
175,638618791,L,2010-04-05,2010-05-25,115,Offline,8,347,88582.16,55318.74,33263.42,2010-04-05,2010-05-25
176,937700545,M,2010-04-06,2010-04-30,116,Online,6,5284,814053.04,480474.12,333578.92,2010-04-06,2010-04-30
177,802427089,C,2010-04-07,2010-04-26,78,Offline,11,4862,3166183.02,2552355.52,613827.5,2010-04-07,2010-04-26
178,781488692,M,2010-04-07,2010-05-03,117,Online,12,8725,5830655.75,4384661.5,1445994.25,2010-04-07,2010-05-03
179,821082818,L,2010-04-07,2010-05-15,16,Online,5,5507,840258.06,536602.08,303655.98,2010-04-07,2010-05-15
180,580014884,C,2010-04-07,2010-05-21,64,Online,1,8148,76020.84,56384.16,19636.68,2010-04-07,2010-05-21
181,924594628,M,2010-04-09,2010-04-12,114,Offline,8,6952,1774706.56,1108287.84,666418.72,2010-04-09,2010-04-12
182,483981502,H,2010-04-09,2010-05-04,45,Online,11,9736,6340180.56,5111010.56,1229170,2010-04-09,2010-05-04
183,269637811,C,2010-04-10,2010-05-01,119,Offline,11,675,439566.75,354348,85218.75,2010-04-10,2010-05-01
184,889093768,M,2010-04-10,2010-05-20,118,Offline,7,1458,299910.6,170746.38,129164.22,2010-04-10,2010-05-20
185,273495042,C,2010-04-11,2010-05-01,105,Online,2,2115,100356.75,67235.85,33120.9,2010-04-11,2010-05-01
186,204775989,L,2010-04-12,2010-04-29,120,Online,11,6620,4311010.2,3475235.2,835775,2010-04-12,2010-04-29
187,447536504,H,2010-04-14,2010-04-25,30,Offline,9,4852,2047010.28,1769475.88,277534.4,2010-04-14,2010-04-25
188,597254407,M,2010-04-14,2010-04-25,87,Offline,1,9706,90556.98,67165.52,23391.46,2010-04-14,2010-04-25
189,879845082,M,2010-04-14,2010-05-01,90,Offline,1,4567,42610.11,31603.64,11006.47,2010-04-14,2010-05-01
190,144125449,H,2010-04-14,2010-05-22,8,Online,7,8778,1805634.6,1027991.58,777643.02,2010-04-14,2010-05-22
191,590760457,L,2010-04-15,2010-04-28,96,Offline,1,8002,74658.66,55373.84,19284.82,2010-04-15,2010-04-28
192,786094367,M,2010-04-15,2010-05-08,121,Online,12,1647,1100640.69,827683.38,272957.31,2010-04-15,2010-05-08
193,762991321,L,2010-04-16,2010-05-17,8,Offline,2,4942,234497.9,157106.18,77391.72,2010-04-16,2010-05-17
194,754804790,H,2010-04-16,2010-05-20,122,Online,11,2366,1540762.86,1242055.36,298707.5,2010-04-16,2010-05-20
195,301439797,L,2010-04-17,2010-04-26,123,Online,9,1590,670805.1,579857.1,90948,2010-04-17,2010-04-26
196,619531333,C,2010-04-17,2010-05-16,80,Offline,11,1944,1265952.24,1020522.24,245430,2010-04-17,2010-05-16
197,334539973,M,2010-04-18,2010-05-11,23,Online,4,6667,728569.76,238945.28,489624.48,2010-04-18,2010-05-11
198,957617127,L,2010-04-20,2010-05-31,31,Online,10,9043,3953599.6,2381293.19,1572306.41,2010-04-20,2010-05-31
199,917904984,L,2010-04-21,2010-04-24,26,Online,3,7338,599734.74,415844.46,183890.28,2010-04-21,2010-04-24
200,421206653,L,2010-04-21,2010-06-04,121,Online,11,3264,2125549.44,1713469.44,412080,2010-04-21,2010-06-04
201,566241204,L,2010-04-23,2010-05-13,92,Offline,8,2210,564168.8,352318.2,211850.6,2010-04-23,2010-05-13
202,829704082,M,2010-04-25,2010-05-02,65,Offline,7,6730,1384361,788150.3,596210.7,2010-04-25,2010-05-02
203,817424285,C,2010-04-25,2010-05-06,12,Online,6,2866,441535.96,260605.38,180930.58,2010-04-25,2010-05-06
204,281013810,C,2010-04-25,2010-05-10,83,Offline,3,7086,579138.78,401563.62,177575.16,2010-04-25,2010-05-10
205,559511220,L,2010-04-25,2010-05-17,124,Online,1,658,6139.14,4553.36,1585.78,2010-04-25,2010-05-17
206,690101325,L,2010-04-27,2010-04-30,123,Online,10,5173,2261635.6,1362206.09,899429.51,2010-04-27,2010-04-30
207,523892343,C,2010-04-27,2010-05-31,85,Offline,8,241,61522.48,38420.22,23102.26,2010-04-27,2010-05-31
208,692029941,L,2010-04-28,2010-04-30,38,Offline,11,5893,3837580.53,3093589.28,743991.25,2010-04-28,2010-04-30
209,374056422,H,2010-04-28,2010-05-06,125,Offline,5,463,70644.54,45114.72,25529.82,2010-04-28,2010-05-06
210,307265985,C,2010-04-29,2010-05-04,74,Online,12,5688,3801119.76,2858447.52,942672.24,2010-04-29,2010-05-04
211,589856660,C,2010-04-29,2010-05-10,73,Online,3,548,44788.04,31055.16,13732.88,2010-04-29,2010-05-10
212,666880261,M,2010-04-29,2010-06-04,97,Online,8,3544,904712.32,564984.48,339727.84,2010-04-29,2010-06-04
213,793731153,C,2010-04-29,2010-06-12,14,Offline,12,1541,1029804.07,774414.14,255389.93,2010-04-29,2010-06-12
214,914088094,C,2010-04-30,2010-05-03,38,Online,11,7835,5102230.35,4113061.6,989168.75,2010-04-30,2010-05-03
215,751854360,C,2010-04-30,2010-05-07,72,Offline,10,9268,4051969.6,2440542.44,1611427.16,2010-04-30,2010-05-07
216,999298226,L,2010-04-30,2010-05-25,126,Online,6,3407,524882.42,309798.51,215083.91,2010-04-30,2010-05-25
217,292349469,L,2010-05-01,2010-05-11,92,Online,11,1559,1015236.39,818412.64,196823.75,2010-05-01,2010-05-11
218,489848029,M,2010-05-01,2010-05-20,127,Offline,5,5772,880691.76,562423.68,318268.08,2010-05-01,2010-05-20
219,242168128,M,2010-05-02,2010-05-03,84,Online,2,1785,84698.25,56745.15,27953.1,2010-05-02,2010-05-03
220,152746713,C,2010-05-02,2010-05-08,32,Offline,11,2,1302.42,1049.92,252.5,2010-05-02,2010-05-08
221,795069682,C,2010-05-02,2010-05-19,74,Online,7,7642,1571959.4,894954.62,677004.78,2010-05-02,2010-05-19
222,624649417,M,2010-05-02,2010-05-26,1,Offline,6,6498,1001081.88,590863.14,410218.74,2010-05-02,2010-05-26
223,443877971,H,2010-05-02,2010-06-06,49,Offline,8,2210,564168.8,352318.2,211850.6,2010-05-02,2010-06-06
